"","p_val","odds","extreme_WT","extreme_MU","rest_WT","rest_MU","gene","extreme","p_adj","p_adj_star"
"210",0.012497605191235,2.59251461084556,3492,61,1039,7,"GNAS","1",0.0350557825614142,"*"
"211",0.01831656745905,7.70162984732364,3527,26,1045,1,"GOLGA5","1",0.0456693081978981,"*"
"213",0.00453990497402711,Inf,3530,23,1046,0,"GPC3","1",0.0167558334896659,"*"
"215",9.09838548289294e-06,3.40200821562377,3429,124,1035,11,"GRIN2A","1",0.000108599877785169,"***"
"221",0.00477129173753711,4.45894583336482,3508,45,1043,3,"HIP1","1",0.0167875607636692,"*"
"222",9.48865802992372e-06,Inf,3507,46,1046,0,"HIST1H3B","1",0.000108635452138514,"***"
"230",0.0201889568394917,4.44421739249977,3523,30,1044,2,"HOOK3","1",0.0484017298587814,"*"
"240",0.0201889568394917,4.44421739249977,3523,30,1044,2,"HSP90AB1","1",0.0484017298587814,"*"
"243",0.00739833354933704,8.59754404869479,3524,29,1045,1,"IKBKB","1",0.0231869559842351,"*"
"250",2.10718423492406e-05,5.69276616617007,3477,76,1042,4,"IRS4","1",0.000203815578584896,"***"
"251",1.53061909666561e-05,Inf,3509,44,1046,0,"ITK","1",0.000166287072466277,"***"
"253",0.0146916788870836,3.85788146026222,3514,39,1043,3,"JAK2","1",0.0383350318867623,"*"
"254",0.00123339470430182,6.69460890636339,3508,45,1044,2,"JAK3","1",0.00581457503456572,"**"
"257",0.00490946574962865,3.7176010533334,3503,50,1042,4,"KAT6B","1",0.0168535859385211,"*"
"258",0.00285815004766035,Inf,3528,25,1046,0,"KCNJ5","1",0.0107612226626675,"*"
"259",0.0016827173960795,3.63632802492847,3492,61,1041,5,"KDM5A","1",0.00726157276308155,"**"
"261",1.68483945632482e-05,9.42061352866427,3490,63,1044,2,"KDM6A","1",0.000168784809821111,"***"
"262",3.48503921508975e-07,8.72465828780618,3466,87,1043,3,"KDR","1",5.92456666565258e-06,"****"
"264",7.07190198019793e-09,5.36076628240838,3412,141,1038,8,"KEAP1","1",2.83381215063645e-07,"****"
"265",0.00107712071932142,Inf,3525,28,1046,0,"KIF5B","1",0.00539522074588678,"**"
"266",0.000650177330487182,5.36440675489561,3499,54,1043,3,"KIT","1",0.00354125711071174,"**"
"270",2.61273944570414e-07,5.58858275767809,3442,111,1040,6,"KMT2A","1",5.0741182555847e-06,"****"
"271",8.61815037793340e-09,4.22235008856456,3387,166,1034,12,"KMT2C","1",3.22318824134709e-07,"****"
"272",0.0142138075259153,1.90239588130721,3451,102,1030,16,"KMT2D","1",0.0379070055859254,"*"
"273",1.57795961608794e-21,9.6638313636297,3278,275,1037,9,"KRAS","1",1.77047068925066e-19,"****"
"276",0.000190804216359977,5.8694560767477,3494,59,1043,3,"LATS1","1",0.00142721553837263,"**"
"277",0.00184623489454144,6.39344531202716,3510,43,1044,2,"LATS2","1",0.00778750207396801,"**"
"280",2.48322901283593e-05,Inf,3510,43,1046,0,"LIFR","1",0.0002246921735808,"***"
